MMSI;Name;Last known latitude;Last known longitude;Date;Time
227391000;;48.24131393432617;-4.968128681182861;13/05/2015;17:43:45;
228802000;"F/V OURAL";47.49840545654297;-3.3995699882507324;18/05/2015;13:49:10;
227297000;"THALASSA";47.02825927734375;-2.4577832221984863;18/05/2015;13:29:10;
227270000;"THALIA";48.34061050415039;-4.47975492477417;19/05/2015;11:54:13;
227116100;"F/V MALUKA";47.728572845458984;-3.367115020751953;19/05/2015;13:59:16;
228026000;"ALCYON";48.37125015258789;-4.512333393096924;19/05/2015;13:59:06;
228186700;"ARGONAUTE";48.176002502441406;-4.3445000648498535;19/05/2015;13:59:51;
228032800;"STELLAMARIS";46.1004638671875;-1.331141710281372;19/05/2015;13:59:25;
235000132;"S/V KASKELOT";48.20653533935547;-5.538228511810303;18/05/2015;21:38:13;
228000700;"ETOILE DU ROY";48.33369064331055;-4.801818370819092;18/05/2015;12:11:20;
235006020;"BESSIE ELLEN";48.280452728271484;-4.588425159454346;19/05/2015;13:59:14;
227749270;"ILE DE GROIX";47.66604995727539;-3.417404890060425;17/05/2015;19:08:22;
370367000;;48.38081741333008;-4.467673301696777;14/05/2015;18:13:34;
227056460;"EMPEDOCLE";47.74772644042969;-3.3226633071899414;19/05/2015;13:59:38;
226158000;"F/V JULIEN COLEOU";47.72866439819336;-3.360833168029785;14/05/2015;18:12:49;
227003850;"COTES DE BRETAGNE";47.97169876098633;-4.101914882659912;18/05/2015;17:33:46;
228114000;"F/V AZKARRA";48.21091842651367;-4.760861873626709;18/05/2015;14:14:53;
245030000;;47.38429260253906;-3.0886332988739014;19/05/2015;14:19:07;
227893000;"F/V FLEUR DES VAGUES";46.499046325683594;-1.7853649854660034;18/05/2015;14:27:28;
228219600;"ANDRE L";47.73862838745117;-3.3534650802612305;19/05/2015;13:59:36;
226070000;"TARA   ";47.729496002197266;-3.374586820602417;19/05/2015;13:59:59;
228267700;"BRETAGNE";47.74760818481445;-3.3485848903656006;19/05/2015;11:54:18;
228229900;;46.68458938598633;-2.7064566612243652;18/05/2015;11:28:25;
227306100;"LA RECOUVRANCE";47.381900787353516;-2.9429166316986084;19/05/2015;11:46:08;
244189000;"IRIS";48.279258728027344;-4.5884318351745605;19/05/2015;13:57:42;
228037900;;47.868167877197266;-4.555143356323242;19/05/2015;13:39:00;
227415000;"F/V JEREMI SIMON";46.48406982421875;-2.1599533557891846;14/05/2015;18:12:55;
250001109;"ARKLOW RAVEN";46.98728561401367;-4.075798511505127;17/05/2015;11:43:13;
245136000;"MORGENSTER";47.59498596191406;-2.859138250350952;17/05/2015;19:42:21;
227009180;"MOR BRAZ";47.69997024536133;-3.426988124847412;19/05/2015;11:52:52;
228843000;"F/V L'ESPOIR";48.119239807128906;-4.489076614379883;13/05/2015;23:51:34;
227128800;"F/V COTE D'AMBRE";47.45970916748047;-3.624569892883301;19/05/2015;13:50:33;
226263000;"ABEILLE BOURBON";48.37981414794922;-4.485766410827637;19/05/2015;13:59:44;
228107800;"F/V LES BARGES";46.49785614013672;-1.790779948234558;14/05/2015;18:12:53;
228051000;"SAINT DENIS";48.38117980957031;-4.484626770019531;14/05/2015;18:13:29;
245804000;"HNLMS URANIA";48.31613540649414;-4.679957866668701;18/05/2015;14:29:04;
227580520;"LOUARN";48.38028335571289;-4.49831485748291;19/05/2015;13:59:57;
227056060;;46.4986572265625;-1.7899466753005981;19/05/2015;11:55:52;
210446000;"WILSON HAMBURG";48.02847671508789;-5.106190204620361;13/05/2015;17:38:28;
244850354;;48.12983322143555;-5.277499675750732;13/05/2015;16:53:58;
228228800;;47.792659759521484;-4.280525207519531;19/05/2015;13:58:34;
636015946;;48.76245880126953;-5.547321796417236;13/05/2015;14:58:59;
227114300;"F/V MEN-GWEN";48.360652923583984;-4.779425144195557;14/05/2015;17:48:42;
227192520;"AR VAG TREDAN";47.7350959777832;-3.3474950790405273;19/05/2015;14:00:00;
227443000;"F/V PROMETHEE";46.48320007324219;-2.1820333003997803;14/05/2015;18:13:32;
228258000;;47.63913345336914;-4.124358177185059;13/05/2015;14:58:37;
249879000;;48.88461685180664;-5.306035041809082;13/05/2015;16:43:56;
211651000;;48.871116638183594;-5.809821605682373;13/05/2015;14:58:48;
228211900;;48.35964584350586;-4.792999744415283;14/05/2015;16:08:17;
227007020;"SNS 282 P.A.DELAUNAY";47.602684020996094;-2.8594515323638916;16/05/2015;19:49:13;
227612860;"ARUN";48.382381439208984;-4.4965996742248535;19/05/2015;13:48:37;
636016352;"MARGRET OLDENDORFF";48.384910583496094;-4.45795202255249;19/05/2015;13:58:17;
319078900;"ANYA";48.37727355957031;-4.4886016845703125;19/05/2015;13:58:46;
234056000;"VN PARTISAN";48.132713317871094;-4.403798580169678;19/05/2015;14:19:09;
227001450;"SAINT TUDY";47.714542388916016;-3.364903211593628;19/05/2015;13:59:05;
538002164;;46.00009536743164;-1.7907767295837402;13/05/2015;17:01:34;
308299000;"CSL ARGOSY";48.38581848144531;-4.459352970123291;19/05/2015;13:57:07;
316012550;"HEATHER KNUTSEN";48.38322830200195;-4.453901767730713;19/05/2015;13:57:40;
228208700;"F/V VAG A LAMM";48.201717376708984;-4.4449615478515625;18/05/2015;21:38:10;
227806000;"F/V REINE DE LA MER";46.24147033691406;-2.522313356399536;18/05/2015;13:59:39;
205291190;;48.91651153564453;2.213163137435913;13/05/2015;15:14:13;
227002630;"ENEZ SUN 3";48.03909683227539;-4.84858512878418;19/05/2015;14:19:09;
228020600;"F/V BESAME";47.730796813964844;-4.358433723449707;19/05/2015;13:48:22;
227003050;"ENEZ EUSSA 3";48.42282485961914;-4.956321716308594;19/05/2015;10:53:36;
228197800;"MARITE";46.7249870300293;-2.3340983390808105;19/05/2015;13:24:01;
228058900;"SPILLGLOP250";46.49810028076172;-1.7933250665664673;19/05/2015;10:02:44;
228109000;"F/V KAN AN AEL";47.813663482666016;-4.383200168609619;19/05/2015;10:38:24;
227008170;"MOLENEZ";48.35457992553711;-4.538233280181885;13/05/2015;17:44:23;
477973000;;47.827632904052734;-5.202378273010254;13/05/2015;16:52:22;
227051790;"MELVAN";47.40054702758789;-2.93612003326416;19/05/2015;10:43:09;
226003650;;48.9181022644043;2.2169950008392334;13/05/2015;16:31:59;
305384000;;48.78303909301758;-5.591259956359863;13/05/2015;16:33:35;
228947000;;47.81513595581055;-4.613571643829346;19/05/2015;12:58:22;
244703000;;48.809913635253906;-5.885128498077393;13/05/2015;16:38:59;
228893000;;47.823246002197266;-4.575076580047607;19/05/2015;13:58:31;
227311000;;48.01823425292969;-4.533616542816162;13/05/2015;16:33:59;
227411000;;47.83491897583008;-4.173754692077637;13/05/2015;16:33:45;
228842000;;47.770694732666016;-4.294195175170898;13/05/2015;16:48:47;
244660106;;48.420387268066406;4.501401901245117;18/05/2015;13:14:10;
228313000;"F/VPHALENE  ";47.55764389038086;-3.4997966289520264;18/05/2015;21:38:08;
227592820;"TREBERON";48.38362503051758;-4.495433330535889;19/05/2015;13:38:57;
228376000;;47.8026008605957;-4.631706714630127;19/05/2015;13:33:30;
228854000;;47.74409484863281;-4.069149971008301;13/05/2015;17:44:04;
226011070;;48.91660690307617;2.2132349014282227;13/05/2015;16:42:52;
228813000;;47.81682205200195;-4.377366542816162;18/05/2015;12:48:55;
241239000;;48.0271110534668;-6.280318260192871;13/05/2015;16:43:45;
